iter	RMSE
0	0.4803997229
1	0.4743180706
2	0.4686035921
3	0.4630658137
4	0.4575991921
5	0.4523758719
6	0.4473347846
7	0.4425749585
8	0.4380232828
9	0.4338194705
10	0.4295936967
11	0.4256544956
12	0.4218989265
13	0.4183058018
14	0.4147224487
15	0.4113308558
16	0.4082043179
17	0.4051613561
18	0.4022133204
19	0.3993972975
20	0.3966717494
21	0.3941349322
22	0.3916656768
23	0.3894070084
24	0.3871681261
25	0.3850129044
26	0.3830592222
27	0.3810979989
28	0.3792452596
29	0.3775044784
30	0.3758490994
31	0.3741764912
32	0.3725958239
33	0.3711153681
34	0.3696840356
35	0.3682976953
36	0.3669362449
37	0.3656379918
38	0.3645091259
39	0.3633173954
40	0.3621622692
41	0.361042379
42	0.3599954027
43	0.3590688459
44	0.3581087146
45	0.3571360679
46	0.3562559092
47	0.3553384339
48	0.3545033147
49	0.3536807776
50	0.3528008889
51	0.352022481
52	0.3512535525
53	0.3505543305
54	0.3498653927
55	0.3491580302
56	0.3484982191
57	0.34786651
58	0.3472701781
59	0.3467031867
60	0.3461058868
61	0.3455018546
62	0.3449981294
63	0.3444770504
64	0.3438751312
65	0.343511119
66	0.3430240094
67	0.3424985674
68	0.341976603
69	0.3415023256
70	0.3410587433
71	0.3405447035
72	0.3402257931
73	0.3397786249
74	0.3393334381
75	0.338965804
76	0.3386315698
77	0.338266157
78	0.3378237815
79	0.3374191294
80	0.3371523498
81	0.336834572
82	0.3364922028
83	0.3360344625
84	0.3357413664
85	0.3354038796
86	0.335023218
87	0.3348171755
88	0.3344840226
89	0.3342654039
90	0.3340414253
91	0.3338813424
92	0.3337182999
93	0.3334711242
94	0.3332446017
95	0.3329408796
96	0.3327814983
97	0.3326512813
98	0.3324898689
99	0.332116222
100	0.3319451214
101	0.331793338
102	0.3314836809
103	0.3313078587
104	0.3311377051
105	0.3308744889
106	0.3306808473
107	0.3304716598
108	0.3302473306
109	0.3300507334
110	0.3299082368
111	0.3297501567
112	0.3295885726
113	0.329420537
114	0.3292677608
115	0.3291578503
116	0.3290762046
117	0.3288395485
118	0.3287628507
119	0.3286335677
120	0.3283841127
121	0.3281871451
122	0.3279981913
123	0.3278609882
124	0.3277306139
125	0.3275367642
126	0.3273935153
127	0.3271522965
128	0.327027134
129	0.3268395607
130	0.3266436611
131	0.326355959
132	0.3262304704
133	0.3260440123
134	0.3259114302
135	0.3257544389
136	0.3255967764
137	0.3254170482
138	0.3252048631
139	0.3250974486
140	0.3250403699
141	0.324771503
142	0.3244881029
143	0.3243622348
144	0.3240941891
145	0.3239120638
146	0.3237697604
147	0.3235901141
148	0.3235101373
149	0.3234143134
