iter	Passed	Remaining
0	0	115
1	1	111
2	2	109
3	3	110
4	4	123
5	5	129
6	6	125
7	6	122
8	7	120
9	8	116
10	8	113
11	9	110
12	10	109
13	11	107
14	11	104
15	12	102
16	12	101
17	13	98
18	14	97
19	14	96
20	15	94
21	16	93
22	16	91
23	17	90
24	17	89
25	18	88
26	19	87
27	19	86
28	20	85
29	21	84
30	21	83
31	22	81
32	22	81
33	23	80
34	24	79
35	24	78
36	25	77
37	26	76
38	26	76
39	27	75
40	28	74
41	28	73
42	29	72
43	33	81
44	34	80
45	35	79
46	35	78
47	36	77
48	36	76
49	37	75
50	38	74
51	38	73
52	39	72
53	40	71
54	40	70
55	41	69
56	42	68
57	42	68
58	43	67
59	44	66
60	44	65
61	45	64
62	46	63
63	46	62
64	47	62
65	48	61
66	48	60
67	49	59
68	49	58
69	50	57
70	51	56
71	51	56
72	52	55
73	52	54
74	53	53
75	54	52
76	54	51
77	55	51
78	55	50
79	56	49
80	57	48
81	57	48
82	58	47
83	59	46
84	59	45
85	60	44
86	61	44
87	61	43
88	62	42
89	62	41
90	63	41
91	67	42
92	69	42
93	71	42
94	73	42
95	75	42
96	80	44
97	81	43
98	82	42
99	82	41
100	83	40
101	84	39
102	84	38
103	85	38
104	86	37
105	87	36
106	87	35
107	88	34
108	89	33
109	89	32
110	90	31
111	90	30
112	91	29
113	91	28
114	92	28
115	92	27
116	93	26
117	94	25
118	94	24
119	95	23
120	95	22
121	96	22
122	96	21
123	97	20
124	97	19
125	98	18
126	99	17
127	99	17
128	100	16
129	100	15
130	101	14
131	101	13
132	102	13
133	102	12
134	103	11
135	104	10
136	104	9
137	105	9
138	105	8
139	106	7
140	106	6
141	107	6
142	108	5
143	109	4
144	110	3
145	110	3
146	111	2
147	112	1
148	112	0
149	113	0
5	168	4
146	168	3
147	169	2
148	169	1
149	170	0
9
144	223	7
145	223	6
146	225	4
147	227	3
148	229	1
149	231	0
